

('SWEEP', '10', '10', '1', '00000408')
('115200', '1', '1', '00', '5050')
05
01
(65, 44)
(32, [81, 150.6875])
(33, [91, 153.8125])
(34, [100, 156.75])
(35, [108, 160.1875])
(36, [139, 169.4375])
(37, [120, 172.0])
(38, [120, 174.625])
(39, [115, 176.3125])
(40, [112, 178.9375])
(41, [112, 181.4375])
(42, [102, 184.375])
(43, [94, 187.375])
(44, [101, 189.875])
(45, [100, 192.375])
(46, [90, 195.3125])
(47, [91, 199.5625])
(48, [83, 202.375])
(49, [76, 205.4375])
(50, [70, 208.625])
(51, [57, 211.25])
(52, [58, 214.125])
(53, [66, 216.9375])
(54, [64, 220.0])
(55, [69, 222.375])
(56, [94, 225.5])
(57, [98, 229.4375])
(58, [211, 242.125])
(59, [179, 244.5])
(60, [165, 247.0625])
(61, [172, 249.75])
(62, [187, 252.625])
(63, [195, 255.3125])
(64, [300, 258.75])
(65, [319, 261.75])
(66, [306, 264.8125])
(67, [307, 267.9375])
(68, [307, 270.5])
(69, [306, 273.625])
(70, [295, 276.5])
(71, [281, 279.4375])
(72, [277, 282.0])
(73, [274, 285.125])
(74, [288, 288.1875])
(75, [280, 291.375])
(76, [274, 294.25])
(77, [230, 299.5])
(78, [232, 303.0625])
(79, [309, 305.625])
(80, [315, 308.8125])
(81, [342, 318.875])
(82, [436, 327.75])
(83, [424, 330.8125])
(84, [326, 334.0625])


(70, 23)
(0, [297, 271.375])
(1, [319, 274.3125])
(2, [287, 277.375])
(3, [277, 280.5])
(4, [273, 283.375])
(5, [275, 286.3125])
(6, [278, 293.5])
(7, [224, 303.0])
(8, [311, 306.0625])
(9, [320, 309.125])
(10, [346, 319.125])
(11, [437, 327.4375])
(12, [433, 331.0])
(13, [327, 334.0625])
(14, [319, 336.625])
(15, [309, 339.1875])
(16, [298, 341.875])
(17, [293, 344.4375])
(18, [256, 347.1875])
(19, [242, 349.75])
(20, [264, 352.5])
(21, [273, 355.375])
(22, [154, 358.125])
(23, [153, 0.6875])
(24, [153, 3.25])
(25, [188, 5.8125])
(26, [111, 18.1875])
(27, [32, 30.8125])
(28, [28, 33.9375])
(29, [30, 37.5])
(30, [29, 40.875])
(31, [33, 44.5])
(32, [32, 47.5625])
(33, [34, 50.9375])
(34, [39, 54.375])
(35, [47, 66.8125])
(36, [28, 79.25])
(37, [1, 92.25])
(38, [5, 105.1875])
(39, [8, 114.0])
(40, [14, 126.375])
(41, [45, 139.1875])
(42, [63, 147.625])
(43, [78, 150.6875])
(44, [89, 153.625])
(45, [101, 156.375])
(46, [111, 159.3125])
(47, [137, 165.5])
(48, [132, 168.0625])
(49, [117, 170.625])
(50, [123, 173.25])
(51, [115, 175.8125])
(52, [113, 177.4375])
(53, [115, 180.125])
(54, [114, 183.0625])
(55, [95, 186.0625])
(56, [97, 188.5625])
(57, [97, 191.5])
(58, [93, 194.0])
(59, [88, 198.125])
(60, [84, 201.3125])
(61, [75, 204.375])
(62, [74, 207.1875])
(63, [66, 210.375])
(64, [59, 213.5625])
(65, [63, 216.4375])
(66, [63, 219.625])
(67, [64, 221.5])
(68, [85, 224.625])
(69, [97, 227.6875])


(84, 39)
(0, [64, 216.625])
(1, [63, 219.25])
(2, [64, 221.1875])
(3, [87, 224.25])
(4, [102, 227.375])
(5, [1, 240.25])
(6, [207, 243.1875])
(7, [167, 246.0625])
(8, [171, 248.8125])
(9, [179, 251.875])
(10, [190, 254.4375])
(11, [241, 257.5])
(12, [325, 260.5625])
(13, [316, 263.125])
(14, [311, 266.1875])
(15, [307, 269.25])
(16, [294, 271.8125])
(17, [320, 274.875])
(18, [292, 277.625])
(19, [280, 280.6875])
(20, [274, 283.4375])
(21, [278, 286.5])
(22, [280, 293.5])
(23, [232, 303.6875])
(24, [314, 306.75])
(25, [314, 309.875])
(26, [350, 320.0625])
(27, [422, 323.5])
(28, [435, 331.5])
(29, [318, 334.5625])
(30, [318, 337.0625])
(31, [310, 339.8125])
(32, [306, 342.3125])
